zip,full address
71018,"71018,Cotton Valley,Louisiana,LA,Webster,119,32.819,-93.4259"
71021,"71021,Cullen,Louisiana,LA,Webster,119,32.9721,-93.4492"
71023,"71023,Doyline,Louisiana,LA,Webster,119,32.49,-93.3996"
71024,"71024,Dubberly,Louisiana,LA,Webster,119,32.5192,-93.2142"
71039,"71039,Heflin,Louisiana,LA,Webster,119,32.447,-93.2852"
71055,"71055,Minden,Louisiana,LA,Webster,119,32.6323,-93.2886"
71058,"71058,Minden,Louisiana,LA,Webster,119,32.6154,-93.2868"
71071,"71071,Sarepta,Louisiana,LA,Webster,119,32.9434,-93.4404"
71072,"71072,Shongaloo,Louisiana,LA,Webster,119,32.9713,-93.2963"
71073,"71073,Sibley,Louisiana,LA,Webster,119,32.5095,-93.3009"
71075,"71075,Springhill,Louisiana,LA,Webster,119,33.0005,-93.4596"
70710,"70710,Addis,Louisiana,LA,West Baton Rouge,121,30.3557,-91.2613"
70719,"70719,Brusly,Louisiana,LA,West Baton Rouge,121,30.3877,-91.2526"
70729,"70729,Erwinville,Louisiana,LA,West Baton Rouge,121,30.548,-91.4187"
70767,"70767,Port Allen,Louisiana,LA,West Baton Rouge,121,30.472,-91.2541"
71237,"71237,Epps,Louisiana,LA,West Carroll,123,32.6161,-91.4913"
71242,"71242,Forest,Louisiana,LA,West Carroll,123,32.8239,-91.3989"
71253,"71253,Kilbourne,Louisiana,LA,West Carroll,123,32.9946,-91.3162"
71263,"71263,Oak Grove,Louisiana,LA,West Carroll,123,32.8731,-91.4302"
71266,"71266,Pioneer,Louisiana,LA,West Carroll,123,32.7154,-91.4648"
70712,"70712,Angola,Louisiana,LA,West Feliciana,125,30.9656,-91.5979"
70775,"70775,Saint Francisville,Louisiana,LA,West Feliciana,125,30.8694,-91.4186"
70782,"70782,Tunica,Louisiana,LA,West Feliciana,125,30.9601,-91.5396"
70784,"70784,Wakefield,Louisiana,LA,West Feliciana,125,30.9175,-91.3581"
70787,"70787,Weyanoke,Louisiana,LA,West Feliciana,125,30.9362,-91.4562"
71404,"71404,Atlanta,Louisiana,LA,Winn,127,31.776,-92.7958"
71410,"71410,Calvin,Louisiana,LA,Winn,127,31.9657,-92.7757"
71422,"71422,Dodson,Louisiana,LA,Winn,127,32.0701,-92.6783"
71440,"71440,Joyce,Louisiana,LA,Winn,127,31.9393,-92.5988"
71471,"71471,Saint Maurice,Louisiana,LA,Winn,127,31.7596,-92.959"
71473,"71473,Sikes,Louisiana,LA,Winn,127,32.0686,-92.4429"
71483,"71483,Winnfield,Louisiana,LA,Winn,127,31.9214,-92.6366"
2532,"02532,Buzzards Bay,Massachusetts,MA,Barnstable,1,41.7455,-70.5905"
2534,"02534,Cataumet,Massachusetts,MA,Barnstable,1,41.6694,-70.6234"
2536,"02536,East Falmouth,Massachusetts,MA,Barnstable,1,41.5968,-70.5671"
