CUSTOMER_NUMBER,PRIMARY_GROUP_NUMBER,FREQUENT_ORDER_TYPE,FIRST_DELIVERY_DATE,ON_BOARDING_DATE,COLD_DRINK_CHANNEL,TRADE_CHANNEL,SUB_TRADE_CHANNEL,LOCAL_MARKET_PARTNER,CO2_CUSTOMER,ZIP_CODE
501556470,376,MYCOKE LEGACY,1/2/2024,8/28/2023,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,21664
501363456,,SALES REP,4/14/2022,3/22/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1885
600075150,2158,SALES REP,3/4/2016,3/22/2012,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,67073
500823056,2183,OTHER,2/6/2019,11/23/2018,DINING,FAST CASUAL DINING,ASIAN FAST FOOD,FALSE,FALSE,1885
600082383,1892,SALES REP,3/4/2016,8/31/2010,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,1203
600079420,,SALES REP,3/10/2016,8/24/2015,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,67952
600080027,9996,SALES REP,3/4/2016,11/29/2006,EVENT,RECREATION,RECREATION FILM,TRUE,TRUE,40517
501382257,,SALES REP,5/24/2022,5/16/2022,DINING,FAST CASUAL DINING,BURGER FAST FOOD,TRUE,TRUE,1568
600076574,,SALES REP,3/10/2016,11/11/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,41010
600076256,8803,SALES REP,3/3/2016,3/17/2004,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,41010
600081612,1980,SALES REP,3/17/2016,8/2/2002,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,67649
600082376,1892,SALES REP,3/7/2016,8/31/2010,PUBLIC SECTOR,PUBLIC SECTOR (NON-MILITARY),OTHER PUBLIC SECTOR,TRUE,FALSE,66757
501700695,,SALES REP,9/12/2024,8/22/2024,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,21920
600076539,2239,SALES REP,3/1/2016,12/12/2013,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,FALSE,FALSE,70784
600076440,,SALES REP,3/1/2016,6/27/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,FALSE,67647
501351798,,SALES REP,9/15/2022,2/23/2022,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,2459
600254855,4638,SALES REP,8/10/2016,8/18/2011,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,40578
600078519,2015,OTHER,2/7/2023,4/28/2004,PUBLIC SECTOR,ACADEMIC INSTITUTION,OTHER ACADEMIC INSTITUTION,TRUE,FALSE,2645
501695913,,SALES REP,11/7/2024,8/7/2024,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,TRUE,2459
501384550,,SALES REP,6/16/2022,5/23/2022,WORKPLACE,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,TRUE,TRUE,2763
501622730,,SALES REP,2/23/2024,2/12/2024,DINING,FAST CASUAL DINING,MEXICAN FAST FOOD,TRUE,FALSE,66609
600250234,,CALL CENTER,8/12/2016,8/2/2007,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,FALSE,2189
501582073,376,SALES REP,12/15/2023,11/13/2023,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,2346
500971638,,SALES REP,7/26/2019,7/22/2019,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,1609
500952466,1715,SALES REP,6/26/2019,6/7/2019,GOODS,GOURMET FOOD RETAILER,OTHER GOURMET FOOD,TRUE,FALSE,66962
501403109,,SALES REP,6/7/2023,6/30/2022,ACCOMMODATION,ACCOMMODATION,OTHER ACCOMMODATION,TRUE,FALSE,2125
600084301,,SALES REP,1/10/2017,8/24/2007,PUBLIC SECTOR,EDUCATION,NON-RESTAURANT EDUCATION,TRUE,FALSE,1969
600565611,,SALES REP,6/7/2017,11/7/2012,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,66933
501569527,,MYCOKE360,11/28/2023,10/9/2023,EVENT,OUTDOOR ACTIVITIES,OTHER OUTDOOR ACTIVITIES,TRUE,FALSE,66933
501032053,,SALES REP,12/27/2019,12/19/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,1432
501654763,,SALES REP,6/27/2024,5/10/2024,DINING,FAST CASUAL DINING,PIZZA FAST FOOD,TRUE,FALSE,67505
501310689,5140,MYCOKE360,2/22/2022,12/31/2021,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,TRUE,2341
501527841,,SALES REP,8/11/2023,6/12/2023,DINING,LICENSED HOSPITALITY,OTHER LICENSED HOSPITALITY,TRUE,FALSE,40555
600565401,2656,SALES REP,5/24/2017,10/22/2012,DINING,FAST CASUAL DINING,OTHER FAST FOOD,FALSE,TRUE,40202
501284913,340,SALES REP,11/16/2021,10/21/2021,GOODS,VEHICLE CARE,OTHER VEHICLE CARE,TRUE,FALSE,40983
600572872,435,SALES REP,5/25/2017,8/29/2014,GOODS,GENERAL RETAILER,OTHER GENERAL RETAIL,TRUE,FALSE,42023
501029354,,SALES REP,1/2/2020,12/11/2019,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42452
600574010,,SALES REP,5/18/2017,11/26/2014,DINING,COMPREHENSIVE DINING,FSR - MISC,TRUE,TRUE,42023
600551416,404,SALES REP,5/5/2017,10/21/2005,GOODS,GENERAL RETAILER,HOME & HARDWARE,TRUE,FALSE,42452
501566789,,SALES REP,12/1/2023,9/28/2023,DINING,FAST CASUAL DINING,OTHER FAST FOOD,TRUE,FALSE,2660
600083685,,SALES REP,12/3/2015,8/17/1999,DINING,OTHER DINING & BEVERAGE,OTHER DINING,TRUE,FALSE,21648
